Tajuk Perolehan,Kategori Perolehan,Kementerian,Agensi,Nama Syarikat,Nilai Perolehan,Kriteria Rundingan Terus,Tarikh
"PERMOHONAN KELULUSAN UNTUK MENYAMBUNG KONTRAK PENYELENGGARAAN SISTEM MYFNANCIAL OLEH SYARIKAT SOFTWARE WIZARDS (M) SDN BHD UNTUK FRIM, KEPONG SELANGOR DARUL EHSAN (1 JANUARI - 31 DISEMBER 2014)",PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN SUMBER ASLI DAN ALAM SEKITAR,INSTITUT PENYELIDIKAN PERHUTANAN MALAYSIA (FRIM),SOFTWARE WIZARDS (M) SDN. BHD.,78000.00,Kepakaran,18/06/2014
PERMOHONAN RUNDINGAN TERUS BAGI PELANTIKAN SEMULA GAS PANTAI TIMUR SDN. BHD. BAGI MEMBEKALKAN GAS PERUBATAN KEPADA SEMUA HOSPITAL DAN PEJABAT KESIHATAN KEMENTERIAN KESIHATAN DI SEMENANJUNG MALAYSIA SELAMA LIMA (5) TAHUN MULAI 1 JANUARI 2015 SEHINGGA 31 DISEMBER 2019,BEKALAN,KEMENTERIAN KESIHATAN,,GAS PANTAI TIMUR SDN BHD,205525660.13,Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais),18/06/2014
"PEROLEHAN PERKHIDMATAN PEMBERSIHAN BLOK PENTADBIRAN DAN KUARTERS DI INSTITUT PERAKAUNAN NEGARA, SABAK BERNAM, SELANGOR MULAI DARI TARIKH SURAT SETUJU TERIMA HINGGA 31 DISEMBER 2014",PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,JABATAN AKAUNTAN NEGARA MALAYSIA,BUME JAYA TRADING SDN. BHD.,148750.00,Keperluan Mendesak,16/06/2014
PERMOHONAN PEROLEHAN SECARA RUNDINGAN TERUS BAGI PROJEK PEMBANGUNAN SISTEM PENGKOMPUTERAN JPJ-MAINFRAME IBM ZEC12-503 UNTUK TEMPOH 5 TAHUN,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PENGANGKUTAN,JABATAN PENGANGKUTAN JALAN (JPJ),HEITECH PADU BERHAD,177000000.00,"Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais), Kepakaran",12/06/2014
"PERMOHONAN UNTUK MELAKSANAKAN PERKHIDMATAN PENYELENGGARAAN PERALATAN LIQUID CHROMATOGRAPH TRIPLE QUADRUPOLE MASS SPECTOMETER (LCMSMS) SELAMA DUA (2) TAHUN SECARA RUNDINGAN TERUS OLEH BAHAGIAN KAWALAN RACUN PEROSAK, JABATAN PERTANIAN SELAMA DUA (2) TAHUN",PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PERTANIAN DAN INDUSTRI ASAS TANI,JABATAN PERTANIAN MALAYSIA,ANALISA RESOURCES (M) SDN. BHD.,180000.00,Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais),09/06/2014
"PERMOHONAN PELAKSANAAN PEMBANGUNAN PROJEK THE PROPOSED NEW LAND DEVELOPMENT OF GTP RUBBER BLOCK PLANTING OF APPROXIMATELY 322 HA AT LIO MATO, BARAM MIRI DIVISION  SECARA RUNDINGAN TERUS BAGI TEMPOH KONTRAK SATU (1) TAHUN",KERJA,KEMENTERIAN PERTANIAN & INDUSTRI MAKANAN SARAWAK,JABATAN PERTANIAN NEGERI SARAWAK,SARWAGA SDN BHD,2086644.00,Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais),09/06/2014
PERMOHONAN UNTUK MELAKSANAKAN PEROLEHAN SECARA RUNDINGAN TERUS DENGAN SYARIKAT TELEKOM MALAYSIA BAGI PERKHIDMATAN TALIAN 2*2 GBPS UNTUK KEGUNAAN PUSAT DATA ENSTEK BAGI TEMPOH SATU (1) TAHUN MULAI 1 DISEMBER 2014 HINGGA 30 NOVEMBER 2015,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PENDIDIKAN MALAYSIA,BAHAGIAN PEROLEHAN DAN PENGURUSAN ASET,TELEKOM MALAYSIA BERHAD,3000000.00,Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais),03/06/2014
"PERMOHONAN PEROLEHAN BAGI PERKHIDMATAN LANJUTAN PENSIJILAN ISMS MS ISO/IEC 27001:2007 DAN PERALIHAN KEPADA ISMS MS ISO/IEC 27001:2013 UNTUK PENGURUSAN KESELAMATAN MAKLUMAT SISTEM E-FILING DI PUSAT DATA LHDNM, CYBERJAYA SECARA RUNDINGAN TERUS DENGAN SCAN ASSOCIATES BERHAD (TEMPOH : 15 BULAN, MULAI 3 SEPTEMBER 2014 - 2 DISEMBER 2015)",BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,LEMBAGA HASIL DALAM NEGERI (LHDN),SCAN ASSOCIATES BERHAD,188000.00,"Kepakaran, Penyeragaman, Keperluan Mendesak",03/06/2014
PERMOHONAN KELULUSAN KHAS UNTUK MELANTIK SYARIKAT CENTURY SOFTWARE (M) SDN BHD SECARA RUNDINGAN TERUS BAGI PERKHIDMATAN PEMBAHARUAN LESEN DAN PENYELENGGARAAN TAHUNAN SISTEM KEWANGAN SAGA SEHINGGA 31 MAC 2015,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PERTANIAN DAN INDUSTRI ASAS TANI,LEMBAGA PERINDUSTRIAN NANAS MALAYSIA (LPNM),CENTURY SOFTWARE (MALAYSIA) SDN. BHD.,93000.00,Penyeragaman,31/05/2014
MEMOHON KELULUSAN MEMPERBAHARUI PERJANJIAN PENYELENGGARAAN TAHUNAN SUSTEM KEWANGAN SAGA UNTUK TEMPOH 3 TAHUN (2015-2017) SECARA RUNDINGAN TERUS,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PENGANGKUTAN,LEMBAGA PELABUHAN KELANG,CENTURY SOFTWARE (MALAYSIA) SDN. BHD.,380000.00,Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais),27/05/2014
"RUNDINGAN TERUS BAGI MEMBEKAL, MENGHANTAR, MEMASANG DAN MENGUJIGUNA SATU (1) UNIT MASS SELECTIVE DETECTOR KE PUSAT PENYELIDIKAN PADI & TANAMAN INDUSTRI, IBU PEJABAT MARDI SERDANG  (ONE-OFF BAGI TAHUN 2014)",BEKALAN,KEMENTERIAN PERTANIAN DAN INDUSTRI ASAS TANI,INSTITUT PENYELIDIKAN DAN KEMAJUAN PERTANIAN MALAYSIA (MARDI),AGILENT TECHNOLOGIES SALES (MALAYSIA) SDN. BHD.,205000.00,"Penyeragaman, Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais)",23/05/2014
PERMOHONAN KELULUSAN MENYAMBUNG KONTRAK PENYELENGGARAAN KOMPREHENSIF SISTEM ICT SEDIA ADA DAN PEROLEHAN TENDER SECARA RUNDINGAN TERUS BAGI PROJEK ICT PARLIMEN KEPADA SYARIKAT NIAGASOFT SDN. BHD. BAGI TEMPOH KONTRAK SELAMA 2 TAHUN MULAI 1 JUN 2014 HINGGA 31 MEI 2016.,PERKHIDMATAN BUKAN PERUNDING,JABATAN PERDANA MENTERI,PARLIMEN MALAYSIA,NIAGASOFT SDN. BHD.,3340000.00,Penyeragaman,22/05/2014
PEROLEHAN PERKHIDMATAN INTEGRASI SISTEM DI ANTARA SISTEM FISICIEN DI PUSAT REHABILITASI PERKESO DAN SISTEM PERAKAUNAN SAGA SECARA RUNDINGAN TERUS DENGAN CENTURY SOFTWARE (M) SDN BHD. BAGI TEMPOH 25 JUN 2014 HINGGA 24 JULAI 2014,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN SUMBER MANUSIA,PERTUBUHAN KESELAMATAN SOSIAL (PERKESO),CENTURY SOFTWARE (MALAYSIA) SDN. BHD.,243310.00,PENYERAGAMAN,21/05/2014
"PEROLEHAN SECARA RUNDINGAN TERUS PERJANJIAN KONTRAK BARU DENGAN HEITECH PADU BERHAD BAGI SEWAAN RUANG SISTEM DAN STORAN PUSAT DATA DI HEITECH VILLAGE 2 (HTV2) SHAH ALAM, SELANGOR",BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KOMUNIKASI DAN MULTIMEDIA,,HEITECH PADU BERHAD,3841600.00,Keperluan Mendesak,12/05/2014
PERMOHONAN KELULUSAN KHAS BAGI PEROLEHAN KENDERAAN LEMBAGA HASIL DALAM NEGERI MALAYSIA (LHDNM)SECARA RUNDINGAN TERUS DENGAN PROTON EDAR SDN. BHD. DAN UMW TOYOTA MOTOR SDN. BHD. (TEMPOH PENGHANTARAN : MINGGU KE-2 OGOS 2014),BEKALAN,KEMENTERIAN KEWANGAN,LEMBAGA HASIL DALAM NEGERI (LHDN),"PROTON EDAR SDN. BHD., UMW TOYOTA MOTOR SDN. BHD.",9983862.70,Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais),28/04/2014
PERMOHONAN KELULUSAN KHAS UNTUK MELANTIK SYARIKAT STORY CIRCLE SEBAGAI SYARIKAT PELAKSANA LATIHAN BAGI PROGRAM BAREFOOT LEADERSHIP CIRCLES 3.0 (PEMBANGUNAN PEWARIS KEPIMPINAN STRATEGIK & PELAN PENGGANTIAN MITI),PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PERDAGANGAN ANTARABANGSA DAN INDUSTRI,,STORY CIRCLE,278000.00,"Kepakaran, Penyeragaman",08/04/2014
"PERMOHONAN KELULUSAN PEROLEHAN SECARA RUNDINGAN TERUS BAGI PERKHIDMATAN MEMBERSIH DAN MENCUCI BANGUNAN PEJABAT, BENGKEL, ASRAMA DAN SURAU DI PUSAT LATIHAN PENGAJAR DAN KEMAHIRAN LANJUTAN (CIAST) SHAH ALAM, SELANGOR BAGI TEMPOH 6 JANUARI HINGGA 30 JUN 2014",PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN SUMBER MANUSIA,JABATAN PEMBANGUNAN KEMAHIRAN,NASH USHA ENTERPRISE,130000.00,Keperluan Mendesak,01/04/2014
PERMOHONAN UNTUK MELAKSANAKAN PERKHIDMATAN PENERBITAN SISIPAN KHAS BERBENTUK TABLOID DI DALAM AKHBAR SECARA RUNDINGAN TERUS BAGI TAHUN 2014,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PERTANIAN DAN INDUSTRI ASAS TANI,,"THE NEW STRAITS TIMES PRESS (MALAYSIA) BHD, UTUSAN MEDIA SALES SDN. BHD.",1694720.00,Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais),18/03/2014
PERMOHONAN KELULUSAN PEROLEHAN RUNDINGAN TERUS BAGI PELANTIKAN BLASTMASTER VIRTUAL STRATEGIES SDN BHD SEBAGAI PENGENDALI BUNGA API BAGI ACARA-ACARA UTAMA KEMENTERIAN PELANCONGAN DAN KEBUDAYAAN MALAYSIA BAGI TAHUN 2014,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PELANCONGAN DAN KEBUDAYAAN MALAYSIA,KEMENTERIAN PELANCONGAN DAN KEBUDAYAAN MALAYSIA,BLASTMASTER VIRTUAL STRATEGIES SDN. BHD.,760000.00,KEPAKARAN,17/03/2014
"PERMOHONAN PENYEWAAN TANAH DI LOT 8259, MUKIM DURIAN TUNGGAL, ALOR GAJAH MELAKA SECARA RUNDINGAN TERUS DENGAN SYARIKAT PERNIAGAAN YBZ BAGI TEMPOH DUA TAHUN MULAI 1 NOVEMBER 2014 SEHINGGA 31 OKTOBER 2016 OLEH JABATAN KASTAM DIRAJA MALAYSIA, MELAKA",PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,JABATAN KASTAM DIRAJA MALAYSIA,PERNIAGAAN YBZ,199200.00,MENDESAK,07/03/2014
PERMOHONAN PELANTIKAN STRATSEC.NET SDN. BHD. SECARA RUNDINGAN TERUS BAGI PERKHIDMATAN PENILAIAN DAN PENSIJILAN SERTA DOKUMENTASI BERDASARKAN ISO/IEC 15408 (COMMON CRITERIA) UNTUK CYBERSECURITY MALAYSIA,PERKHIDMATAN BUKAN PERUNDING,"KEMENTERIAN SAINS, TEKNOLOGI DAN INOVASI",MALAYSIAN CYBER SECURITY AGENCY,STRATSEC. NET SDN. BHD.,636000.00,Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais),06/03/2014
PERKHIDMATAN PENAMBAHBAIKAN APLIKASI SISTEM PERAKAUNAN HASIL BERELEKTRONIK (ERAS) DI LEMBAGA HASIL DALAM NEGERI MALAYSIA UNTUK TEMPOH 1 TAHUN MULAI 2 MEI 2014 HINGGA 1 MEI 2015,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,LEMBAGA HASIL DALAM NEGERI (LHDN),CENTURY SOFTWARE (MALAYSIA) SDN. BHD.,243000.00,"Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais), Penyeragaman",28/02/2014
PERMOHONAN KELULUSAN PELANJUTAN KONTRAK PERKHIDMATAN MEL KORPORAT OLEH POS MALAYSIA BERHAD DI UNIVERSITI KEBANGSAAN MALAYSIA UNTUK TEMPOH 2 TAHUN,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PENDIDIKAN TINGGI,UNIVERSITI KEBANGSAAN MALAYSIA (UKM),POS MALAYSIA BERHAD,897600.00,Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais),24/02/2014
PERMOHONAN PELANTIKAN STRATSEC.NET SDN. BHD. SECARA RUNDINGAN TERUS BAGI PERKHIDMATAN PEMBANGUNAN MAKMAL PENILAIAN KRIPTOGRAFI BERDASARKAN PIAWAIAN NIST-FIPS140 UNTUK CYBERSECURITY MALAYSIA MULAI 15 APRIL 2015 SEHINGGA 31 DISEMBER 2015,PERKHIDMATAN BUKAN PERUNDING,"KEMENTERIAN SAINS, TEKNOLOGI DAN INOVASI",MALAYSIAN CYBER SECURITY AGENCY,STRATSEC.NET SDN. BHD.,820800.00,KEPAKARAN,09/02/2014
"PERMOHONAN PEROLEHAN PERKHIDMATAN SEWAAN KHAS PESAWAT FIREFLY (CHARTERED AIRCRAFT) SECARA RUNDINGAN TERUS UNTUK PERSIDANGAN KETUA-KETUA PERWAKILAN MALAYSIA KE 8, KEMENTERIAN LUAR NEGERI",BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN LUAR NEGERI,,FLYFIREFLY SDN. BHD.,258000.00,Keperluan Mendesak,07/02/2014
"A)	MEMPERBAHARUI PERJANJIAN PENYELENGGARAAN  SISTEM KEWANGAN SAGA SECARA RUNDINGAN TERUS DENGAN CENTURY SOFTWARE (M) SDN. BHD. BAGI TEMPOH SATU TAHUN 2014.

B)	MENAIK TARAF SISTEM KEWANGAN SAGA DARIPADA VERSI 7.6 KEPADA VERSI 8.2 SECARA RUNDINGAN TERUS DENGAN CENTURY SOFTWARE (M) SDN. BHD.",PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PENGANGKUTAN,LEMBAGA PELABUHAN KELANG,CENTURY SOFTWARE (MALAYSIA) SDN. BHD.,339200.00,"Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais), Penyeragaman",22/01/2014
PERKHIDMATAN PENYELENGGARAAN SISTEM ELEKTRONIK DAGANGAN BERBAHAYA DAN ZON BEBAS (EDCFZ) SELAMA TIGA (3) TAHUN BERMULA DARIPADA 20/2/2014 HINGGA 19/2/2017 SECARA RUNDINGAN TERUS DENGAN DAGANG NET TECHNOLOGIES SDN. BHD.,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PENGANGKUTAN,LEMBAGA PELABUHAN KELANG,DAGANG NET TECHNOLOGIES SDN. BHD.,420000.00,"Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais), Penyeragaman",22/01/2014
PERMOHONAN KELULUSAN RUNDINGAN TERUS BAGI PELANTIKAN PERSATUAN PENGILANG-PENGILANG KASUT MALAYSIA SEBAGAI PENGENDALI ACARA MALAYSIA INTERNATIONAL SHOE FESTIVAL 2014 BAGI TEMPOH ENAM BULAN BERMULA PADA 25 MAC 2014 SEHINGGA 24 SEPTEMBER 2014,BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PELANCONGAN DAN KEBUDAYAAN MALAYSIA,SEKRETARIAT TAHUN MELAWAT MALAYSIA 2014,MALAYSIAN FOOTWEAR MANUFACTURER ASSOCIATION,3049900.00,"MENDESAK, KEPAKARAN",15/01/2014
PERMOHONAN KELULUSAN KHAS SECARA RUNDINGAN TERUS BAGI PELANTIKAN MAEPS MANAGEMENT  SDN BHD UNTUK MENGADAKAN MAJLIS ANUGERAH TANGAN EMAS PERDANA MENTERI (MATEPM),BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN SUMBER MANUSIA,JABATAN PEMBANGUNAN KEMAHIRAN,MAEPS MANAGEMENT SDN BHD,660000.00,Keperluan Mendesak,02/01/2014
PERMOHONAN PEROLEHAN SECARA RUNDINGAN TERUS DENGAN SYARIKAT EGIS HEALTHCARE TECHNOLOGIES SDN BHD BAGI PERKHIDMATAN MENYELENGARA SISTEM PENGURUSAN MAKMAL (LIS) UNTUK TEMPOH DUA (2) TAHUN,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KESIHATAN,PUSAT PERUBATAN UNIVERSITI MALAYA (PPUM),EGIS HEALTHCARE TECHNOLOGIES SDN. BHD.,912908.00,"Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais), Penyeragaman",30/12/2013
"PERMOHONAN PEROLEHAN SECARA RUNDINGAN TERUS DENGAN SYARIKAT CENTURY SOFTWARE (M) SDN BHD BAGI PERKHIDMATAN MENYELENGGARA SISTEM FINANCIAL DAN INVENTORY BAGI TEMPOH 2 TAHUN. 
RUJUKAN RUNDINGAN TERUS: RT/1053/10/2013 (17)",PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PENDIDIKAN TINGGI,PUSAT PERUBATAN UNIVERSITI MALAYA (PPUM),CENTURY SOFTWARE (MALAYSIA) SDN. BHD.,760000.00,"Penyeragaman, Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais)",30/12/2013
PERMOHONAN PEROLEHAN SECARA RUNDINGAN TERUS PERKHIDMATAN PENILAIAN DAN LATIHAN AKREDITASI HOSPITAL-HOSPITAL KEMENTERIAN KESIHATAN MALAYSIA DENGAN MALAYSIAN SOCIETY FOR QUALITY IN HEALTH (MSQH) SELAMA EMPAT TAHUN MULAI 1 DISEMBER 2014 SEHINGGA 30 NOVEMBER 2017,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KESIHATAN,,MALAYSIAN SOCIETY FOR QUALITY IN HEALTH (MSQH),10996662.50,Kepakaran,26/12/2013
PELANTIKAN PENYELIA PERKHIDMATAN PENGKOMERSILAN TEKNOLOGI BAGI MENGHASILKAN INOVASI PRODUK DI BAWAH PROGRAM GREEN LED/SOLID STATE LIGHTING UNTUK SME CORPORATION MALAYSIA,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PERDAGANGAN ANTARABANGSA DAN INDUSTRI,SME CORPORATION MALAYSIA,B DEC RESOURCES MALAYSIA SDN BHD,6272500.00,Penyeragaman,19/12/2013
PERMOHONAN PEROLEHAN MENAIKTARAF KEKUNCI AKAR (ROOT KEY) PUBLIC KEY INFRASTRUCTURE (PKI) SISTEM PERANCANGAN & KAWALAN BELANJAWAN ELEKTRONIK (ESPKB)UNTUK TEMPOH 23 DISEMBER 2013 HINGGA 31 DISEMBER 2013,BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,JABATAN AKAUNTAN NEGARA MALAYSIA,XYBASE SDN. BHD.,156000.00,"Keperluan Mendesak, Penyeragaman",10/12/2013
PEROLEHAN SECARA RUNDINGAN TERUS BAGI PEMBEKALAN UNIFORM CELORENG DIGITAL UNTUK PASUKAN SUKARELAWAN MALAYSIA (RELA) OLEH SYARIKAT JAKEL TRADING BAGI TEMPOH SATU TAHUN,BEKALAN,KEMENTERIAN DALAM NEGERI,,JAKEL TRADING,5154516.00,"Keperluan Mendesak, Penyeragaman",28/11/2013
"PERMOHONAN PEMBEKALAN 26,000 UNIT TANGKI AIR JENIS HDPE 400 GELEN UNTUK NEGERI SARAWAK SECARA RUNDINGAN TERUS BAGI TAHUN 2014",BEKALAN,JABATAN PERDANA MENTERI,,"MICROSITE ENTERPRISE SDN. BHD., PEMBINAAN RU SDN. BHD., HANAYIN ENGINEERING SDN. BHD., AUTOPOWER CONSULTANTS (M) SDN. BHD., SAMADO SDN. BHD.",63840260.00,Penyeragaman,21/11/2013
"PERMOHONAN KELULUSAN PEROLEHAN SECARA RUNDINGAN TERUS BAGI PEMBELIAN OPERATING THEATRE LIGHT UNTUK HOSPITAL JASIN, MELAKA",BEKALAN,KEMENTERIAN KESIHATAN,JABATAN KESIHATAN NEGERI MELAKA,ANTAH BUMIMEDIC SDN. BHD.,185000.00,"Keperluan Mendesak, Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais)",20/11/2013
"PEROLEHAN SECARA RUNDINGAN TERUS BAGI HAK SIARAN BADMINTON TERBUKA MALAYSIA, MALAYSIA OPEN GP GOLD, MALAYSIA INTERNATIONAL CHALLENGE DAN KEJOHANAN BAM UNTUK TAHUN 2014 DENGAN PERSATUAN BADMINTON MALAYSIA MULAI 1 JANUARI 2014 HINGGA 31 DISEMBER 2014",BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KOMUNIKASI DAN MULTIMEDIA,JABATAN PENYIARAN MALAYSIA,PERSATUAN BADMINTON MALAYSIA,410000.00,"Keperluan Mendesak, Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais)",12/11/2013
PEMBEKALAN UNIFORM SIAP UNTUK POLIS DIRAJA MALAYSIA (PDRM) BAGI TEMPOH SATU TAHUN,BEKALAN,KEMENTERIAN DALAM NEGERI,POLIS DIRAJA MALAYSIA (PDRM),OPTIMUM EIGHT SDN. BHD,3950000.00,Penyeragaman,08/11/2013
PERMOHONAN KELULUSAN KHAS BAGI PEMBAHARUAN PENYELENGGARAAN PERISIAN ORACLE UNTUK NATIONAL ENTERPRISE WIDE STATISTICAL SYSTEMS DI JABATAN PERANGKAAN DENGAN SYARIKAT ORACLE CORPORATION (M) SDN. BHD. SECARA RUNDINGAN TERUS UNTUK TEMPOH 2 TAHUN,BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,JABATAN PERDANA MENTERI,JABATAN PERANGKAAN MALAYSIA,ORACLE CORPORATION MALAYSIA SDN. BHD.,1310398.45,Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais),31/10/2013
PERMOHONAN KELULUSAN BAGI PEROLEHAN MEMBEKAL DAN MENGHANTAR JUBAH AKADEMIK DI AKADEMI PERCUKAIAN MALAYSIA BANGI (APMB) DENGAN SYARIKAT PLEXUS ASIA SDN BHD SECARA RUNDINGAN TERUS,BEKALAN,KEMENTERIAN KEWANGAN,LEMBAGA HASIL DALAM NEGERI (LHDN),PLEXUS ASIA SDN. BHD.,88000.00,Penyeragaman,11/10/2013
PERMOHONAN RUNDINGAN TERUS BAGI PEROLEHAN PERKHIDMATAN SISTEM PENGAWASAN MEDIA ONLINE SECARA RUNDINGAN TERUS DENGAN MNEWS MALAYSIA SDN BHD,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,LEMBAGA HASIL DALAM NEGERI (LHDN),MNEWS MALAYSIA SDN BHD,99000.00,Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais),10/10/2013
PERMOHONAN RUNDINGAN TERUS BAGI PEROLEHAN PERKHIDMATAN KERJA-KERJA PEMBERSIHAN DAN PENGINDAHAN KAWASAN POLITEKNIK MERLIMAU MELAKA DENGAN SYARIKAT BERTAM BINA ENTERPRISE,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PENDIDIKAN MALAYSIA,,BERTAM BINA ENTERPRISE,97576.80,Keperluan Mendesak,10/10/2013
PERMOHONAN PELANJUTAN PERJANJIAN KEMUDAHAN ALAT KOMUNIKASI MUDAH ALIH DENGAN MAXIS BROADBAND SDN BHD BAGI TEMPOH 3 TAHUN,BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN SUMBER MANUSIA,PERTUBUHAN KESELAMATAN SOSIAL (PERKESO),MAXIS BROADBAND SDN. BHD.,3471408.00,Penyeragaman,10/10/2013
"PERKHIDMATAN MAINTENANCE, REPAIR AND OVERHAUL (MRO) OF THIRTY EIGHT (38) SETS OF SIX (6) CARS ELECTRIC MULTIPLE UNITS (SCS) SELAMA TIGA (3) TAHUN SECARA RUNDINGAN TERUS DENGAN SYARIKAT CSR ZHUZHOU ELECTRIC LOCOMOTIVE CO. LTD. (CSRZECL) DARI 15/2/2014 SEHINGGA 14/2/2017",PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PENGANGKUTAN,KERETAPI TANAH MELAYU BERHAD (KTMB),CSR ZHUZHOU ELECTRIC LOCOMOTIVE CO. LTD.,200061840.00,Penyeragaman,08/10/2013
"PERMOHONAN KELULUSAN PEROLEHAN TAMBAHAN SKOP, PELANJUTAN TEMPOH DAN TAMBAHAN NILAI BAGI KONTRAK BUSINESS LICENSING ELECTRONIC SUPPORT SYSTEM (BLESS) DI UNIT PENYELARASAN DAN PELAKSANAAN (ICU) JABATAN PERDANA MENTERI UNTUK TEMPOH 18 BULAN",BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,JABATAN PERDANA MENTERI,UNIT PENYELARASAN PELAKSANAAN (ICU JPM),XYBASE SDN. BHD.,4861000.00,Penyeragaman,03/10/2013
PEROLEHAN MENAIKTARAF KEKUNCI AKAR (ROOT KEY) PUBLIC KEY INFRASTRUCTURE (PKI) SISTEM PERAKAUNAN STANDARD KERAJAAN NEGERI (SPEKS) UNTUK TEMPOH 2 BULAN MULAI 1 NOVEMBER 2013 HINGGA 31 DISEMBER 2013,BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,JABATAN AKAUNTAN NEGARA MALAYSIA,DIGICERT SDN. BHD.,81300.00,"Penyeragaman, Keperluan Mendesak",03/10/2013
PERMOHONAN KELULUSAN RUNDINGAN TERUS BAGI PEROLEHAN PERALATAN PENGUJIAN DAN PENILAIAN KESELAMATAN PEMBACA KAD PINTAR SENTUH (EMV CONTACT SMART CARD) UNTUK MAKMAL KAD PINTAR CYBERSECURITY MALAYSIA,BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,"KEMENTERIAN SAINS, TEKNOLOGI DAN INOVASI",MALAYSIAN CYBER SECURITY AGENCY,MCS MICROSYSTEMS SDN. BHD.,1445500.00,Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais),30/09/2013
PELANTIKAN SYARIKAT TH IT RESOURCE CENTRE SECARA RUNDINGAN TERUS BAGI PERKHIDMATAN SISTEM (SOFTWARE) PENDAFTARAN PESERTA UNTUK PELANCARAN 1MALAYSIA ENTREPRENEURS (1MET) DI KLCC PADA 11 OKTOBER ANJURAN KEMENTERIAN KEWANGAN UNTUK TEMPOH SEWAAN SELAMA 3 HARI,BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,UNIT STRATEGI NASIONAL (NSU),TH IT RESOURCE CENTRE SDN. BHD.,293495.00,Keperluan Mendesak,26/09/2013
